Event,Course
Valspar Championship,"Innisbrook Resort (Copperhead Course) - Palm Harbor, FL"
THE PLAYERS Championship,"TPC Sawgrass (THE PLAYERS Stadium Course) - Ponte Vedra Beach, FL"
Puerto Rico Open,"Grand Reserve Country Club - Rio Grande, Puerto Rico"
Arnold Palmer Invitational,"Arnold Palmer's Bay Hill Club & Lodge - Orlando, FL"
Cognizant Classic,"PGA National Resort & Spa (The Champion) - Palm Beach Gardens, FL"
Mexico Open at Vidanta,"Vidanta Vallarta - Nuevo Vallarta, Mexico"
The Genesis Invitational,"Riviera Country Club - Pacific Palisades, CA"
WM Phoenix Open,"TPC Scottsdale (Stadium Course) - Scottsdale, AZ"
AT&T Pebble Beach Pro-Am,"Spyglass Hill GC - Pebble Beach, CA / Pebble Beach Golf Links - Pebble Beach, CA"
Farmers Insurance Open,"Torrey Pines (North Course) - La Jolla, CA / Torrey Pines (South Course) - La Jolla, CA"
The American Express,"La Quinta Country Club - La Quinta, CA / PGA West (Nicklaus Tournament Course) - La Quinta, CA / Pete Dye Stadium Course - La Quinta, CA"
Sony Open in Hawaii,"Waialae Country Club - Honolulu, HI"
The Sentry,"Kapalua Resort (Plantation Course) - Kapalua, HI"
PGA TOUR Q-School presented by Korn Ferry,"TPC Sawgrass (Dye's Valley Course) - Ponte Vedra Beach, FL / Sawgrass Country Club - Ponte Vedra Beach, FL"
Hero World Challenge,"Albany - New Providence, Bahamas"
The RSM Classic,"Sea Island Resort (Seaside Course) - Saint Simons Island, GA / Sea Island Resort (Plantation Course) - Saint Simons Island, GA"
Butterfield Bermuda Championship,"Port Royal Golf Course - Southampton Parish, Bermuda"
World Wide Technology Championship,"El Cardonal at Diamante - Cabo San Lucas, Mexico"
ZOZO CHAMPIONSHIP,"Accordia Golf Narashino CC - Chiba, Japan"
Shriners Children's Open,"TPC Summerlin - Las Vegas, NV"
Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS"
Fortinet Championship,"Silverado Resort and Spa (North Course) - Napa, CA"
TOUR Championship,"East Lake Golf Club - Atlanta, GA"
BMW Championship,"Olympia Fields Country Club - Olympia Fields, IL"
FedEx St. Jude Championship,"TPC Southwind - Memphis, TN"
Wyndham Championship,"Sedgefield Country Club - Greensboro, NC"
3M Open,"TPC Twin Cities - Blaine, MN"
Barracuda Championship,"Tahoe Mountain Club (Old Greenwood) - Truckee, CA"
The Open,Royal Liverpool GC - Hoylake
Barbasol Championship,"Keene Trace Golf Club (Champions Course) - Nicholasville, KY"
Genesis Scottish Open,"The Renaissance Club - North Berwick, Scotland"
John Deere Classic,"TPC Deere Run - Silvis, IL"
Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI"
Travelers Championship,"TPC River Highlands - Cromwell, CT"
U.S. Open,"Los Angeles Country Club - Los Angeles, CA"
RBC Canadian Open,"Oakdale Golf & Country Club - Toronto, ON"
The Memorial Tournament,"Muirfield Village Golf Club - Dublin, OH"
Charles Schwab Challenge,"Colonial Country Club - Fort Worth, TX"
PGA Championship,"Oak Hill Country Club - Rochester, NY"
AT&T Byron Nelson,"TPC Craig Ranch - McKinney, TX"
Wells Fargo Championship,"Quail Hollow Club - Charlotte, NC"
Mexico Open,"Vidanta Vallarta - Nuevo Vallarta, Mexico"
Zurich Classic of New Orleans,"TPC Louisiana - Avondale, LA"
RBC Heritage,"Harbour Town Golf Links - Hilton Head Island, SC"
Masters Tournament,"Augusta National Golf Club - Augusta, GA"
Valero Texas Open,"TPC San Antonio (Oaks Course) - San Antonio, TX"
Corales Puntacana Championship,"Puntacana Resort & Club (Corales Golf Course) - Punta Cana, Dominican Republic"
WGC-Dell Technologies Match Play,"Austin Country Club - Austin, TX"
Valspar Championship,"Innisbrook Resort (Copperhead Course) - Palm Harbor, FL"
THE PLAYERS Championship,"TPC Sawgrass (THE PLAYERS Stadium Course) - Ponte Vedra Beach, FL"
Arnold Palmer Invitational,"Arnold Palmer's Bay Hill Club & Lodge - Orlando, FL"
Puerto Rico Open,"Grand Reserve Country Club - Rio Grande, Puerto Rico"
The Honda Classic,"PGA National Resort & Spa (The Champion) - Palm Beach Gardens, FL"
The Genesis Invitational,"Riviera Country Club - Pacific Palisades, CA"
WM Phoenix Open,"TPC Scottsdale (Stadium Course) - Scottsdale, AZ"
AT&T Pebble Beach Pro-Am,"Spyglass Hill GC - Pebble Beach, CA / Pebble Beach Golf Links - Pebble Beach, CA"
Farmers Insurance Open,"Torrey Pines (North Course) - La Jolla, CA / Torrey Pines (South Course) - La Jolla, CA"
The American Express,"La Quinta Country Club - La Quinta, CA / PGA West (Nicklaus Tournament Course) - La Quinta, CA / Pete Dye Stadium Course - La Quinta, CA"
Sony Open in Hawaii,"Waialae Country Club - Honolulu, HI"
Sentry Tournament of Champions,"Kapalua Resort (Plantation Course) - Kapalua, HI"
